reaction_id,article_id,entity,entity_type,asian_status,reaction,reaction_reason
reaction_1001,Article_52,Chin's Parents,other_individuals,Asian,Cannot be inferred,
reaction_10010,Article_486,El Kimchi food truck,business_entities,Not applicable,Cannot be inferred,
reaction_10011,Article_486,Wild Ginger Noodle Bar,business_entities,Not applicable,Cannot be inferred,
reaction_10012,Article_486,Itto Ramen Bar and Tapas,business_entities,Not applicable,Cannot be inferred,
reaction_10013,Article_486,Lee's One Fortune Farm,business_entities,Not applicable,Cannot be inferred,
reaction_10014,Article_486,Jawbreaking Creative,business_entities,Not applicable,Cannot be inferred,She also recommended business owners take the Don't Ask Your Black Friend webinar by Jefferson Ellison of the Asheville-based Jawbreaking Creative.
reaction_10015,Article_486,Baba Nahm,business_entities,Not applicable,Cannot be inferred,
reaction_10016,Article_486,Grove Arcade,business_entities,Not applicable,Cannot be inferred,
reaction_10017,Article_486,Restaurant Business,business_entities,Not applicable,Cannot be inferred,
reaction_10018,Article_487,Tommy Ng,professionals,Asian,Fostering conversations about anti-Asian hate,He said he believed that raising awareness of the assaults would help bring people forward.
reaction_10019,Article_487,Joo Han,professionals,Asian,Takes actions to stop AAPI hate,She is spearheading an effort to train a team of volunteer 'safety ambassadors' to de-escalate racially charged incidents while they are happening.
reaction_1002,Article_52,Shen's Friends,other_individuals,Cannot be inferred,Cannot be inferred,"Lieutenant Detective Paul Covino of the Medford police said he understands how some victims are wary of law enforcement, and so encourages Shen's friends and support network to report the incident on her behalf."
reaction_10020,Article_487,Unknown Attacker (elderly woman),perpetrators,Cannot be inferred,Cannot be inferred,
reaction_10021,Article_487,Unknown Attacker (subway),perpetrators,Cannot be inferred,Cannot be inferred,
reaction_10022,Article_487,Asian Elderly Woman,victims,Asian,Cannot be inferred,NYPD Inspector Tommy Ng was assigned to lead the task force this week following an attack on 65-year-old Asian woman Monday.
reaction_10023,Article_487,Asian Young Man,victims,Asian,Cannot be inferred,
reaction_10024,Article_487,Joe Biden,politicians,Non-Asian,Support Asian Americans,"The New York attacks are part of a national spike in anti-Asian hate crimes across the United States, which have drawn widespread attention and condemnation from celebrities to U.S. President Joe Biden."
reaction_10025,Article_487,New York City Police Department,law_enforcement_agencies,Not applicable,Increasing patrols,"The NYPD said it had increased patrols in Asian neighborhoods, including using undercover officers to prevent and disrupt attacks."
reaction_10026,Article_487,NYPD Asian Hate Crimes Task Force,law_enforcement_agencies,Not applicable,Launching a hate-crime task force,The new head of a New York City Police Department task force on Asian hate crimes said Friday that a history mental illness is a common factor among the suspects arrested in recent high-profile attacks on Asians in the city.
reaction_10027,Article_487,Asian American Federation,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,
reaction_10028,Article_488,Joe Biden,politicians,Non-Asian,Cannot be inferred,
reaction_10029,Article_488,Kamala Harris,politicians,Non-Asian,Cannot be inferred,
reaction_1003,Article_52,Boston Police Department,law_enforcement_agencies,Not applicable,Increasing patrols,"Police departments in Boston and Lowell say that since the Atlanta killings, they have stepped up patrols, from Chinatown to Fields Corner, from Cambodia Town to the Buddhist temples in Lowell."
reaction_10030,Article_488,Donald Trump,politicians,Non-Asian,Cannot be inferred,
reaction_10031,Article_488,Lyndon B. Johnson,politicians,Non-Asian,Cannot be inferred,
reaction_10032,Article_488,George H.W. Bush,politicians,Non-Asian,Cannot be inferred,
reaction_10033,Article_488,Randy Short,other_individuals,Cannot be inferred,Cannot be inferred,
reaction_10034,Article_488,Frantz Fanon,professionals,Non-Asian,Cannot be inferred,
reaction_10035,Article_488,C. Wright Mills,professionals,Non-Asian,Cannot be inferred,
reaction_10036,Article_488,Asian Americans,victims,Asian,Cannot be inferred,"Therefore, for decades few Asians complain to the authorities about incidents of racial intolerance."
reaction_10037,Article_488,Black Americans,victims,Non-Asian,Cannot be inferred,
reaction_10038,Article_488,Uyghur minority,victims,Asian,Cannot be inferred,
reaction_10039,Article_488,George Floyd,victims,Non-Asian,Cannot be inferred,
reaction_1004,Article_52,Medford Police,law_enforcement_agencies,Not applicable,Support Asian Americans,"Lieutenant Detective Paul Covino of the Medford police said he understands how some victims are wary of law enforcement, and so encourages Shen's friends and support network to report the incident on her behalf."
reaction_10040,Article_488,Derek Chauvin,perpetrators,Non-Asian,Cannot be inferred,
reaction_10041,Article_488,Medgar Evers,other_individuals,Non-Asian,Cannot be inferred,
reaction_10042,Article_488,Malcolm X,other_individuals,Non-Asian,Cannot be inferred,
reaction_10043,Article_488,Martin Luther King Jr.,other_individuals,Non-Asian,Cannot be inferred,
reaction_10044,Article_488,Robert Kennedy,politicians,Non-Asian,Cannot be inferred,
reaction_10045,Article_488,John Brown,other_individuals,Non-Asian,Cannot be inferred,
reaction_10046,Article_488,Nat Turner,other_individuals,Non-Asian,Cannot be inferred,
reaction_10047,Article_488,Christopher Columbus,professionals,Non-Asian,Cannot be inferred,
reaction_10048,Article_488,Lord Dunmore,politicians,Non-Asian,Cannot be inferred,
reaction_10049,Article_488,Biden administration,government_bodies,Not applicable,Cannot be inferred,
reaction_1005,Article_52,Lowell Police Department,law_enforcement_agencies,Not applicable,Increasing patrols,"Police departments in Boston and Lowell say that since the Atlanta killings, they have stepped up patrols, from Chinatown to Fields Corner, from Cambodia Town to the Buddhist temples in Lowell."
reaction_10050,Article_489,Leif-Eric Easley,professionals,Cannot be inferred,Cannot be inferred,
reaction_10051,Article_489,Asian women killed in Atlanta,victims,Asian,Cannot be inferred,
reaction_10052,Article_489,Sikh victims in Indianapolis,victims,Asian,Cannot be inferred,
reaction_10053,Article_489,Asian elderly targeted,victims,Asian,Cannot be inferred,
reaction_10054,Article_489,Akiko Horiba,other_individuals,Asian,Cannot be inferred,"""I would be a little afraid to visit America because I'm a woman and I saw a video of someone beating Asian ladies, I don't really recommend it to the younger generation,"" Horiba, who works in Tokyo, told the paper."
reaction_10055,Article_489,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"The Stop AAPI Hate, a group tracking incidents of violence against Asian Americans and Pacific Islanders, received more than 2,808 firsthand accounts of anti-Asian hate from March 2020 through the end of the year. The California-based advocacy group tracked 987 in the first two months of 2021, the report quoted the group as saying."
reaction_10056,Article_489,FedEx,business_entities,Not applicable,Cannot be inferred,
reaction_10057,Article_490,Donald Trump,politicians,Non-Asian,Cannot be inferred,
reaction_10058,Article_490,Ivan Y. Sun,professionals,Asian,Cannot be inferred,
reaction_10059,Article_490,Sarah E. DeYoung,professionals,Cannot be inferred,Cannot be inferred,
reaction_1006,Article_52,Quincy Police Department,law_enforcement_agencies,Not applicable,Cannot be inferred,
reaction_10060,Article_490,Vincent Chin,victims,Asian,Cannot be inferred,
reaction_10061,Article_490,Asian Women Victims,victims,Asian,Support Asian Americans,"Unprovoked attacks of Asian Americans, particularly on the elderly and women, are cowardly and illegal acts."
reaction_10062,Article_490,Asian Elderly,victims,Asian,Cannot be inferred,
reaction_10063,Article_490,Asian Americans,other_individuals,Asian,Support Asian Americans,"We call for your support to Asian Americans and communities, condemning racially-based violence and rendering your assistance to those in need."
reaction_10064,Article_490,South Asians,other_individuals,Asian,Cannot be inferred,
reaction_10065,Article_490,Japanese Americans,other_individuals,Asian,Cannot be inferred,
reaction_10066,Article_490,Stop Asian Americans and Pacific Islanders Hate,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,
reaction_10067,Article_490,Red Clay Schools,community_groups,Not applicable,Cannot be inferred,"Recently, Red Clay Schools indicated that they planned to end the Chinese immersion program at Linden Hill Elementary in Wilmington."
reaction_1007,Article_52,US Attorney's Office,law_enforcement_agencies,Not applicable,Launching a hate-crime task force,"Last fall the US attorney's office in Massachusetts created a civil rights task force, and much of its current focus is on preventing hate crimes against the Asian American community, according to a spokeswoman."
reaction_1008,Article_52,Department of Justice,law_enforcement_agencies,Not applicable,Cannot be inferred,"President Biden, through an executive order in January, has taken aim at anti-Asian hate and has directed the Department of Justice to make it one of its highest priorities. Representative Grace Meng, a New York Democrat, has introduced legislation calling for greater federal oversight of COVID-19 related hate crimes and requiring the Justice Department to provide Congress with regular updates about bias incidents."
reaction_1009,Article_52,Congress,government_bodies,Not applicable,Advocacy/take actions for changes,"Representative Grace Meng, a New York Democrat, has introduced legislation calling for greater federal oversight of COVID-19 related hate crimes and requiring the Justice Department to provide Congress with regular updates about bias incidents."
reaction_101,Article_6,Jennifer Lee,professionals,Cannot be inferred,Cannot be inferred,
reaction_1010,Article_52,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"An organization called Stop AAPI Hate has tried to quantify the real number by collecting reports from the Asian American community, and identified 3,795 incidents across the country over roughly the first year of the pandemic."
reaction_1011,Article_52,Center for the Study of Hate and Extremism,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,
reaction_1012,Article_53,Karyn Polito,politicians,Cannot be inferred,Attending marches/rallies,"In Fields Corner, Lieutenant Governor Karyn Polito joined a group of demonstrators holding signs denouncing anti-Asian hate."
reaction_1013,Article_53,Ben Hires,professionals,Cannot be inferred,Advocacy/take actions for changes,"""Ben Hires, chief executive at the Boston Chinatown Neighborhood Center, highlighted efforts by Quincy residents to create a city department of social justice and equity, as well as state legislative measures, including new educational programs, to help combat racism."" ""He also called for broader investments in creating access to jobs, housing, health care, and other services for communities of color."" ""'We need to center transformative justice that begins with cross-racial justice, and community building that addresses white supremacy as the root cause of violence and hate,' Hires told participants."""
reaction_1014,Article_53,Philip Chong,professionals,Asian,Calling for being united,"""This rally is about unity, it is about communication, and it is intended to be a very loud statement that the city of Quincy is a place where we respect and care about one another."""
reaction_1015,Article_53,Robert Aaron Long,perpetrators,Non-Asian,Cannot be inferred,
reaction_1016,Article_53,Asian Spa Victims,victims,Asian,Support Asian Americans,"The event was organized by Asian Coalition Massachusetts, which a group of young activists formed last month after a gunman killed eight people at Atlanta-area spas, including six women of Asian descent."
reaction_1017,Article_53,Al Wong's Relatives,victims,Asian,Cannot be inferred,
reaction_1018,Article_53,Sophia Wu,other_individuals,Asian,Support Asian Americans,"Sophia Wu, 38, a demonstrator from the Fenway, held a sign that said, ""People need to stop confusing xenophobia with patriotism."""
reaction_1019,Article_53,Joan Dotruong,other_individuals,Asian,Attending marches/rallies,"""Today is not the only day that we're going to resist, right?"" Joan Dotruong, an organizer from Dorchester, asked the crowd."
reaction_102,Article_6,Grace Pai,professionals,Asian,Support Asian Americans,"""Grace Pai, organizing director of the Chicago chapter of Asian Americans Advancing Justice, said the idea that the attacks were not racially motivated is 'ridiculous.'"" ""Anybody can look at what he did: He targeted three Asian businesses and killed mostly Asian American women,"" Pai said about the alleged gunman. ""How is that not racially motivated?"""
reaction_1020,Article_53,Grace Truong,other_individuals,Asian,Support Asian Americans,"""No one should be fetishized because of their race or how they look,"" Truong said."
reaction_1021,Article_53,Linzie Truong,other_individuals,Asian,Support Asian Americans,"Her sister Linzie, a junior at North Andover High School, held a sign that read, ""We are not silent. But are you listening?"""
reaction_1022,Article_53,Sam Lê Shave,other_individuals,Asian,Support Asian Americans,"Sam Lê Shave, a volunteer with the Asian American Resource Workshop, spoke out against immigration policies that harm the Asian community."
reaction_1023,Article_53,Donald Trump,other_individuals,Non-Asian,Cannot be inferred,
reaction_1024,Article_53,Al Wong,other_individuals,Asian,Support Asian Americans,"""This racism needs to be, one, recognized, and, more importantly, addressed by all Americans and especially the government, at every level,"" said Wong, who lives in the North End."
reaction_1025,Article_53,Kei Nguyen,other_individuals,Asian,Calling for being united,"""We need to have more Asians be vocal and speak up and be leaders."""
reaction_1026,Article_53,Demonstrators,other_individuals,Cannot be inferred,Attending marches/rallies,"demonstrators on Saturday demanded an end to racism against people of Asian descent, who have faced increased violence and harassment since the beginning of the coronavirus pandemic. The column of demonstrators lined up behind a banner that read, 'March For Our Asian Futures.'"
reaction_1027,Article_53,Three Sisters from North Andover,other_individuals,Asian,Cannot be inferred,
reaction_1028,Article_53,Parents of Three Sisters,other_individuals,Asian,Cannot be inferred,
reaction_1029,Article_53,Quincy City Hall,government_bodies,Not applicable,Attending marches/rallies,"At a busy intersection in Dorchester, along Washington Street in the South End, and on the steps of Quincy City Hall, demonstrators on Saturday demanded an end to racism against people of Asian descent, who have faced increased violence and harassment since the beginning of the coronavirus pandemic. In Quincy, two separate rallies opposing anti-Asian hate were held at City Hall. Earlier in the day, people gathered at Quincy City Hall for the 'Fight Anti-Asian Hate' solidarity event organized by a coalition of local groups, including Quincy Asian Resources Inc."
reaction_103,Article_6,Frank Reynolds,professionals,Non-Asian,Color blind/minimizing racism,Cherokee County Sheriff Frank Reynolds said early indicators showed the attacks 'may not be' racially motivated.
reaction_1030,Article_53,Asian Coalition Massachusetts,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"Organizers from Asian Coalition Massachusetts said they want marginalized people within the Asian community to have a voice, and they detailed policy objectives including fighting gentrification, cutting budgets for police agencies, and decriminalizing sex work."
reaction_1031,Article_53,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,"The national coalition Stop AAPI Hate received 96 reports from Massachusetts of anti-Asian hate and discrimination between March 19, 2020, and Feb. 28, according to data released last month. Nationwide, the group received 3,795 reports of anti-Asian incidents during the same period, it said."
reaction_1032,Article_53,Asian American Resource Workshop,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"Sam Lê Shave, a volunteer with the Asian American Resource Workshop, spoke out against immigration policies that harm the Asian community."
reaction_1033,Article_53,Quincy For Transformative Change,ngo_or_advocacy_groups,Not applicable,Attending marches/rallies,"The ""Stand Up, Speak Out! Pan-Asian Solidarity Rally,"" held Saturday afternoon, was organized by Quincy For Transformative Change and other local organizations."
reaction_1034,Article_53,Boston Chinatown Neighborhood Center,ngo_or_advocacy_groups,Not applicable,Takes actions to stop AAPI hate,"Ben Hires, chief executive at the Boston Chinatown Neighborhood Center, highlighted efforts by Quincy residents to create a city department of social justice and equity, as well as state legislative measures, including new educational programs, to help combat racism."
reaction_1035,Article_53,Quincy Asian Resources Inc,ngo_or_advocacy_groups,Not applicable,Attending marches/rallies,"people gathered at Quincy City Hall for the 'Fight Anti-Asian Hate' solidarity event organized by a coalition of local groups, including Quincy Asian Resources Inc."
reaction_1036,Article_53,Local Organizations (Quincy),community_groups,Not applicable,Attending marches/rallies,"The ""Stand Up, Speak Out! Pan-Asian Solidarity Rally,"" held Saturday afternoon, was organized by Quincy For Transformative Change and other local organizations."
reaction_1037,Article_53,Coalition of Local Groups (Quincy),community_groups,Not applicable,Attending marches/rallies,"Earlier in the day, people gathered at Quincy City Hall for the ""Fight Anti-Asian Hate"" solidarity event organized by a coalition of local groups, including Quincy Asian Resources Inc."
reaction_1038,Article_56,Jeff Le,professionals,Asian,Cannot be inferred,
reaction_1039,Article_56,Augustine Tsui,professionals,Asian,Not confronting attacker/harasser or not reporting,"Mr. Tsui wears a mask to conceal his face as he hustles inside. ""Instead of getting anti-Asian comments it's not entirely clear who I am"" he said. ""I can just go about my day."""
reaction_104,Article_6,Jay Baker,professionals,Non-Asian,Color blind/minimizing racism,Baker was later removed as the spokesman for the case after he also said Long had 'a really bad day'
reaction_1040,Article_56,Unknown Attacker (Atlanta),perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1041,Article_56,Unknown Attacker (NYC),perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1042,Article_56,Airport Woman,perpetrators,Non-Asian,Cannot be inferred,
reaction_1043,Article_56,Pregnant Woman,victims,Asian,Cannot be inferred,
reaction_1044,Article_56,64-Year-Old Man,victims,Asian,Cannot be inferred,
reaction_1045,Article_56,27-Year-Old Woman,victims,Asian,Cannot be inferred,
reaction_1046,Article_56,Asian Man (NYC),victims,Asian,Cannot be inferred,
reaction_1047,Article_56,Atlanta Victims,victims,Asian,Cannot be inferred,They messaged Ms. Zhu with concern after six women of Asian descent were among eight people shot to death at massage spas around Atlanta in March -- killings that galvanized many Asian Americans to demand political action to address the spike in anti-Asian violence.
reaction_1048,Article_56,Mandy Lin,other_individuals,Asian,Feeling hopeless or support AAPI being not enough,"""It's not safe to be outside"" Ms. Lin 43 said. ""There has just been unending violence and harassment."" ""I feel really conflicted about what to do to support my child"" she said."
reaction_1049,Article_56,Mandy Lin's Son,other_individuals,Asian,Cannot be inferred,
reaction_105,Article_6,Robert Aaron Long,perpetrators,Non-Asian,Cannot be inferred,
reaction_1050,Article_56,Mandy Lin's Grandmother,other_individuals,Asian,Cannot be inferred,His grandmother stays inside all day.
reaction_1051,Article_56,Mandy Lin's Husband,other_individuals,Asian,Cannot be inferred,
reaction_1052,Article_56,Lily Zhu,other_individuals,Asian,Feeling hopeless or support AAPI being not enough,She worries about her parents in Ohio who have gone back to commuting and taking art classes in downtown Cleveland and who now own a gun for protection.
reaction_1053,Article_56,Lily Zhu's Parents,other_individuals,Asian,Cannot be inferred,
reaction_1054,Article_56,Anna Perng,other_individuals,Asian,Support Asian Americans,Anna Perng a community organizer in Philadelphia who has spent the past year calling out anti-Asian hate
reaction_1055,Article_56,Cathie Lieu Yasuda,other_individuals,Asian,Not confronting attacker/harasser or not reporting,Whenever she and her children go out they follow a new rule of social distancing: Not six feet to stop the spread but arm's length to keep from getting shoved or punched.
reaction_1056,Article_56,Cathie Lieu Yasuda's Daughter,other_individuals,Asian,Cannot be inferred,
reaction_1057,Article_56,Cathie Lieu Yasuda's Son,other_individuals,Asian,Cannot be inferred,
reaction_1058,Article_56,Casey Sun,other_individuals,Asian,Cannot be inferred,
reaction_1059,Article_56,Education Department,government_bodies,Not applicable,Educating students,The Education Department recently put out a guide for families dealing with anti-Asian bullying and reminded schools that they have a legal obligation to confront the harassment.
reaction_106,Article_6,Anonymous Harassers,perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1060,Article_56,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,Stop AAPI Hate a coalition of community and academic organizations tracked more than 6600 attacks and other incidents targeting Asian Americans and Pacific Islanders from March 2020 to March 2021.
reaction_1061,Article_56,Truman National Security Project,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,
reaction_1062,Article_56,H Mart,business_entities,Not applicable,Cannot be inferred,
reaction_1063,Article_56,99 Ranch Market,business_entities,Not applicable,Cannot be inferred,
reaction_1064,Article_492,Mark Squilla,politicians,Cannot be inferred,Cannot be inferred,"Mark Squilla, a Democratic representative of the city's 1st District, said he has received growing reports about the lack of safety in the area. ""Get our streets back, so people feel safe again because, right now, they do not feel safe because they think the lawlessness is running rampant throughout the city,"" said Squilla."
reaction_1065,Article_492,Donald Trump,politicians,Non-Asian,Politicians initiated anti-Asian hate and racism,"former President Donald Trump, to call it the ""China virus."""
reaction_1066,Article_492,Buu Ly,professionals,Asian,Cannot be inferred,
reaction_1067,Article_492,Unknown Homeless Man,perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1068,Article_492,27-year-old Asian American Woman,victims,Asian,Cannot be inferred,Philadelphia police are investigating an attack on a 27-year-old Asian American woman in Center City on Sunday.
reaction_1069,Article_492,Witness,other_individuals,Cannot be inferred,Cannot be inferred,
reaction_107,Article_6,Former Co-worker,perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1070,Article_492,Philadelphia Police Department,law_enforcement_agencies,Not applicable,Cannot be inferred,Philadelphia police are investigating an attack on a 27-year-old Asian American woman in Center City on Sunday.
reaction_1071,Article_492,Central Detectives Division,law_enforcement_agencies,Not applicable,Cannot be inferred,An investigation is in progress with the city's Central Detectives Division.
reaction_1072,Article_492,Bar-Ly,business_entities,Not applicable,Cannot be inferred,
reaction_1073,Article_492,Jefferson University Hospital,business_entities,Not applicable,Cannot be inferred,
reaction_1074,Article_492,WPVI-TV,business_entities,Not applicable,Cannot be inferred,
reaction_1075,Article_492,Washington Examiner,business_entities,Not applicable,Cannot be inferred,
reaction_1076,Article_493,Sharon Tomiko Santos,politicians,Asian,Attending marches/rallies,A lineup including Rep. Sharon Tomiko Santos (D-Seattle) and former King County Councilmember Larry Gossett spoke before the protesters began their march through the CID.
reaction_1077,Article_493,Larry Gossett,politicians,Non-Asian,Attending marches/rallies,A lineup including Rep. Sharon Tomiko Santos (D-Seattle) and former King County Councilmember Larry Gossett spoke before the protesters began their march through the CID.
reaction_1078,Article_493,Donald Trump,politicians,Non-Asian,Politicians initiated anti-Asian hate and racism,"According to youth coordinator Nathan Duong, the goal of the rally was to ""shift the narrative"" that ""scapegoats Asian Americans"" touted by leaders like former president Donald Trump."
reaction_1079,Article_493,Gary Locke,politicians,Asian,Attending marches/rallies,Duong spoke in the same lineup as the former governor at the rally.
reaction_108,Article_6,Street Harasser,perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1080,Article_493,Cynthia Delostinos Johnson,politicians,Cannot be inferred,Cannot be inferred,
reaction_1081,Article_493,Nathan Duong,professionals,Asian,Attending marches/rallies,"According to youth coordinator Nathan Duong, the goal of the rally was to ""shift the narrative"" that ""scapegoats Asian Americans"" touted by leaders like former president Donald Trump."
reaction_1082,Article_493,Madeleine Magana,professionals,Asian,Attending marches/rallies,"According to youth coordinator Madeleine Magana, protestors chanted as they marched along 5th Ave"
reaction_1083,Article_493,Anson Huang,professionals,Asian,Attending marches/rallies,"According to Huang, the turn out of these smaller rallies was still ""solid"" with the support of 30 to 40 community members and even some interest from local leadership."
reaction_1084,Article_493,Debra Erden-emandakh,professionals,Asian,Support Asian Americans,"The youngest organizer, Debra Erden-emandakh, founded the Asian Student Union at her high school in Tahoma, WA as well as the non-profit Chosen 1 Family, according to an infographic on the AAPI Organizing Coalition Against Hate and Bias Facebook page."
reaction_1085,Article_493,Unknown Woman,perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1086,Article_493,Asian Women in Atlanta,victims,Asian,Support Asian Americans,"The Saturday following the anti-Asian hate crime that killed six Asian women in Atlanta, GA, the youth organizers put together a virtual vigil and healing session."
reaction_1087,Article_493,Asian Elders,victims,Asian,Cannot be inferred,"""Seeing the news of Asian elders being pushed on the streets made me question if my grandparents are safe,"" Magana said."
reaction_1088,Article_493,Unidentified Man,victims,Cannot be inferred,Cannot be inferred,
reaction_1089,Article_493,Magana's Grandparents,other_individuals,Asian,Cannot be inferred,
reaction_109,Article_6,Gropers,perpetrators,Cannot be inferred,Cannot be inferred,
reaction_1090,Article_493,Duong's Classmates,other_individuals,Cannot be inferred,Support Asian Americans,"Duong and his Monroe, WA classmates founded and continue to direct the Monroe Inclusion Collective which works with their school board and local leadership to combat racism and bias."
reaction_1091,Article_493,Community Members,other_individuals,Cannot be inferred,Attending marches/rallies,"According to Huang, the turn out of these smaller rallies was still ""solid"" with the support of 30 to 40 community members and even some interest from local leadership."
reaction_1092,Article_493,Local Leadership,other_individuals,Cannot be inferred,Attending marches/rallies,"According to youth coordinators at AAPI Coalition Against Hate and Bias, that delayed action from city leadership was the catalyst for the youth-led ""We Are Not Silent"" rally which promises to launch a movement in King County."
reaction_1093,Article_493,Protesters,other_individuals,Cannot be inferred,Attending marches/rallies,the March 13 rally in Chinatown International District's (CID) Hing Hay Park drew hundreds of protestors to respond to the surge in anti-Asian hate crimes during the pandemic.
reaction_1094,Article_493,Peacekeepers,other_individuals,Cannot be inferred,Cannot be inferred,
reaction_1095,Article_493,Organizers,other_individuals,Cannot be inferred,Attending marches/rallies,"Spread from Maple Valley to Monroe to Seattle, the organizers planned the rally via a hodgepodge of Zoom meetings, phone calls, and text messages."
reaction_1096,Article_493,Youth Team,other_individuals,Cannot be inferred,Cannot be inferred,
reaction_1097,Article_493,Seattle Police Department,law_enforcement_agencies,Not applicable,Cannot be inferred,"The Seattle Police Department investigated 14 Anti-Asian hate crimes in 2020, a rise from nine in 2019 and six in 2018."
reaction_1098,Article_493,King County,government_bodies,Not applicable,Cannot be inferred,"According to youth coordinators at AAPI Coalition Against Hate and Bias, that delayed action from city leadership was the catalyst for the youth-led 'We Are Not Silent' rally which promises to launch a movement in King County. King County will spend $5 million to support multicultural media and combat the rise in hate and bias, reports the Seattle Times. After their Hing Hay Park protest, the youth-led movement continued throughout the King County area with action in Maple Valley, Renton, Kent, Newcastle, Bellevue, Burien, and Tukwila all slated before March 22."
reaction_1099,Article_493,City Leadership,government_bodies,Not applicable,Cannot be inferred,"According to youth coordinators at AAPI Coalition Against Hate and Bias, that delayed action from city leadership was the catalyst for the youth-led ""We Are Not Silent"" rally which promises to launch a movement in King County."
reaction_11,Article_1,Author's grandparents,other_individuals,Asian,Cannot be inferred,
reaction_110,Article_6,Summer Chen,victims,Asian,Attending marches/rallies,"This past Saturday, Chen, the Mandarin teacher from Bridgeport, stepped onto a bench at the foot of the Illinois Centennial Monument in Logan Square and peered out into the sea of hundreds of faces during a 'Stop Asian Hate' rally."
reaction_1100,Article_493,School Board,government_bodies,Not applicable,Cannot be inferred,"Duong and his Monroe, WA classmates founded and continue to direct the Monroe Inclusion Collective which works with their school board and local leadership to combat racism and bias."
reaction_1101,Article_493,Tukwila City Council,government_bodies,Not applicable,Cannot be inferred,
reaction_1102,Article_493,King County Council,government_bodies,Not applicable,Cannot be inferred,
reaction_1103,Article_493,CHOP,government_bodies,Not applicable,Cannot be inferred,
